SAMPLE,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,3:22985001,6:15880001,12:20650001,20:14055001,SUM_CAB_READS,SUM_KAGA_READS,TOTAL_READS,PROP_CAB_READS,PROP_KAGA_READS,SUM_GT_CAB,SUM_GT_HET,SUM_GT_KAGA,TOTAL_GT,PROP_CAB_GT,PROP_HET_GT,PROP_KAGA_GT
87,25532,55.91,0.082,676.12,1.56e-60,58.05,1.23,0.23,57.94,2.11,11_12_20,AU,-1,NA,NA,0,2455634,2160179,4615813,0.5320046544346576,0.46799534556534245,19266,51159,22934,93359,0.2063646782849002,0.5479814479589541,0.24565387375614564
88,21819,59.33,0.078,796.91,1.56e-62,62.36,1.73,0.32,62.46,2.56,12_12_20,AU,NA,0,NA,1,1619020,659178,2278198,0.7106581605286283,0.28934183947137165,30689,36808,11761,79258,0.38720381538772114,0.4644073784349845,0.1483888061772944
89,31265,58.61,0.189,309.37,5e-51,61.93,1.95,0.36,62.16,2.57,12_12_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,26913,59.18,0.185,318.25,2.26e-51,60.16,0.74,0.14,60.2,0.6,12_12_20,AU,0,0,-1,0,5740086,3689958,9430044,0.6087019318255567,0.3912980681744433,25737,60368,19749,105854,0.24313677329151473,0.5702949345324693,0.18656829217601603
91,21398,55.74,0.245,226.14,3.22e-47,58.22,1.55,0.29,58.69,1.96,12_12_20,AU,-1,NA,NA,1,5241472,2467554,7709026,0.6799136492729432,0.3200863507270568,33102,53967,17210,104279,0.31743687607284304,0.5175251009311559,0.16503802299600112
92,25687,58.92,0.142,413.037,1.53e-54,61.87,1.71,0.32,62.31,2.27,12_12_20,AU,-1,0,NA,0,4214140,3273975,7488115,0.5627771475197697,0.43722285248023035,32597,51464,19671,103732,0.3142424709829175,0.49612462885127057,0.1896329001658119
93,27929,54.3,0.05,934.97,1.78e-64,56.95,1.51,0.28,57.19,2.63,12_12_20,AU,-1,1,NA,1,3850264,2210971,6061235,0.6352276392517366,0.36477236074826336,34048,41069,28421,103538,0.32884544804805965,0.39665630010237785,0.2744982518495625
94,23110,61.84,0.107,572.94,1.61e-58,63.86,1.18,0.22,63.67,1.73,12_12_20,AU,-1,0,-1,1,5376601,2124126,7500727,0.7168106504876127,0.2831893495123873,36499,54464,12725,103688,0.3520079469176761,0.5252681120283929,0.12272394105393103
95,24117,65.02,1.071,60.69,2.9e-31,68.03,3.29,0.61,68.64,3.16,12_12_20,AU,-1,NA,NA,1,3948887,1251567,5200454,0.7593350503629106,0.24066494963708937,44496,37973,16653,99122,0.448901353887129,0.383093561469704,0.16800508464316702
96,28174,57.08,0.264,215.44,1.25e-46,59.65,1.61,0.3,58.84,2.33,12_12_20,AU,-1,1,0,1,5523517,4660393,10183910,0.5423768473994762,0.4576231526005238,23613,57866,24249,105728,0.22333724273607747,0.5473100786924939,0.22935267857142858
97,23661,59.76,0.19,314.06,3.28e-51,62.49,1.63,0.3,62.46,3.55,12_12_20,AU,0,0,NA,1,4140794,4515268,8656062,0.47836926306673866,0.5216307369332613,26079,53369,25712,105160,0.24799353366298973,0.5075028527957398,0.24450361354127045
98,26191,60.66,0.048,1250.48,5.2e-68,62.65,1.14,0.21,62.61,1.74,13_12_20,AU,-1,0,NA,1,3560624,2432551,5993175,0.5941131370267012,0.4058868629732988,31942,52022,17168,101132,0.3158446386900289,0.5143970256694221,0.16975833564054899
99,26484,63.75,0.11,575.24,1.44e-58,65.18,0.86,0.16,65.03,1.06,13_12_20,AU,0,1,NA,1,4831218,4299254,9130472,0.5291312431602659,0.470868756839734,30582,44321,30613,105516,0.28983282156260665,0.42004056256871,0.29012661586868344
100,26729,60.63,0.08,755.22,7.05e-62,61.24,0.4,0.07,61.41,0.91,13_12_20,AU,-1,0,-1,1,4235792,3415600,7651392,0.553597567605999,0.446402432394001,25244,49289,30566,105099,0.2401925803290231,0.46897686942787276,0.2908305502431041
101,26357,61.3846,0.261453482180831,234.782109184318,2.23322258431078e-40,67.56,3.55,0.72,66.83,6.33,12_12_20,AU,-1,1,NA,NA,1598179,1403825,3002004,0.5323707096992543,0.4676292903007458,21750,41713,20854,84317,0.25795509802293726,0.49471636799221985,0.24732853398484292
102,30212,58.3968735632184,0.0651865855080701,895.841883848768,5.9157994751637e-64,60.88,1.42,0.26,60.8,2.63,12_12_20,AU,-1,-1,NA,1,5746232,4617047,10363279,0.5544801022919483,0.44551989770805167,31518,45052,29115,105685,0.2982258598665847,0.42628566021668163,0.2754884799167337
103,26821,63.4929655172414,0.218029256001825,291.213054071559,2.72177959244795e-50,66.7,1.91,0.35,67.29,2.56,13_12_20,AU,-1,-1,NA,1,4354318,2745837,7100155,0.6132708370451068,0.38672916295489324,30077,46203,26843,103123,0.291661414039545,0.44803778012664486,0.2603008058338101
104,27629,60.6685517241379,0.13739353423302,441.567735067096,2.36552429204762e-55,62.06,0.87,0.16,61.86,1.73,13_12_20,AU,0,1,NA,0,6966018,4852875,11818893,0.5893968242203395,0.4106031757796606,33687,44710,28775,107172,0.31432650319113203,0.41717986041130145,0.2684936363975665
